实里（冬装）——Academy Messenger 通讯

=== 章节4 ===

【此处触发羁绊剧情3，参考 实里（冬装）_羁绊剧情_3.txt】

实里（冬装）: 这么说来，老师

实里（冬装）: 我最近看了一本很有趣的书

实里（冬装）: 书名叫做《为何奇普托斯的学生会不幸呢》

老师: 书里写了什么呢？

实里（冬装）: 作者似乎是一名曾任职于联邦学生会财务室的学生

实里（冬装）: 在调查了奇普托斯流通的布丁等等奢侈品的供需情形后……

实里（冬装）: 他发现如果能公平分给所有学生的话，数量是十分足够的

实里（冬装）: 然而由于部分的学生吃了两个以上的布丁，导致均衡遭到了破坏

老师: 真是个有趣的统计呢

实里（冬装）: 但是，那些能够吃超过两个布丁的学生，自然是不会顾虑其他人的

实里（冬装）: 因此才会造成近半数的学生由于吃不到布丁而陷入不幸

老师: 布丁应该不代表一切吧……

实里（冬装）: 你在说什么？布丁就是幸福的根源吧

实里（冬装）: 总之，除非从布尔乔亚阶级手中夺走布丁，否则不幸就会永远持续下去

实里（冬装）: 但我们光是进行学园斗争就分身乏术了……

实里（冬装）: 所以我想过从根本上解决这个问题的方法

实里（冬装）: 你觉得将学生人数减少一半怎么样……？

老师: 思考方式可以不要跟某个最终BOSS一样吗……

【此处触发羁绊剧情4，参考 实里（冬装）_羁绊剧情_4.txt】
