三森——羁绊剧情 5

羁绊等级：15
场景地点：修行部．调理室

标题: 大和抚子的真心

三森: 欢迎您的到来，老师！

三森: 今天邀请老师来……是想展现料理修行的成果给老师看。

三森: 那么我们赶紧到调理室去吧。

旁白: 修行部．调理室

三森: 这里就是我们修行部的调理室。

三森: 除了料理修行之外，从准备食材到身心锻炼……都会在这里进……行……？

三森: 为什么调理室会乱成这样！？

家政教室管理者: 三，三森酱，是这样的……昨晚妖怪剧团好像在调理室办庆典。

家政教室管理者: 就算现在开始整理也要花不少时间，所以今天可能没办法使用了……

三森: ……

三森: 这样不行。

수행부원: 三森酱！？

三森: 这种程度的脏乱，不用多久就能搞定了！

老师: 啊，那我也来帮忙。

三森: 咦！？老师也要帮忙！？！？

三森: 没，没关系的，请交给我吧！
三森: 这里毕竟是我们修行部的调理室！

三森: 况且……一名理想的大和抚子应当事先预料到妖怪剧团会在这里办庆典才对……

三森: 还要提前到达现场，将他们一网打尽才行……

老师: 大和抚子不是那样的吧！？

三森: 可，可是……

三森: 都是因为我事前没做好准备，调理室才会变成这样……

三森: 如果再给老师添麻烦的话……

<选择>
1. 老师: 不用放在心上。

2. 老师: 我也希望能帮助三森。
</选择>

三森: ……

三森: 既然老师都这么说了……好吧。

三森: 万事拜托了，老师。

三森: 那，那么！为了花时间帮忙的老师……！

三森: 我，水羽三森，作为修行部的副部长……

三森: 会比平时加倍努力！更加全力以赴！

老师: 平常那样还不够认真吗！？

三森: 是的！为了成为更理想的大和抚子，必须随时保持著上进的心！

三森: 所以今天……要使用「那个东西」！

老师: 围，围裙！？

三森: 那么，我要开始了！

旁白: （认真模式（？）的三森实在是……非同小可，有点吓人……）

三森: 呼……辛苦了，老师。

三森: 咦？工作几乎都被我做完了？

三森: 呵呵，请别这么说。
三森: 接受老师的帮助……反而会让我觉得不好意思的。

三森: 而且，可能也是多亏了这个……

三森: 咦？您说穿著这件围裙……很可爱？

三森: 老师真是的，请别取笑我了。

三森: 不是在取笑……？

三森: ……

三森: 老，老师应该累了，先换个地方吧！
三森: 来，请往这里！

三森: 麻烦老师稍等，我这就去泡茶。

三森: 来，请用。
三森: 机会难得，我也准备了一些和菓子。

三森: 其实……之所以邀请老师来，是想让老师看著我制作和菓子的样子……

三森: 口味如何呢？茶会不会太烫？

老师: 非常美味，茶也很香哦。

三森: 呵呵，太好了……

三森: 咦？这件围裙……是吗？

三森: ……

三森: 这……是我第一次梦想成为理想的自己时，看漫画买的围裙。

三森: 一直珍惜地使用到了现在……已经有点老旧了。

老师: 不过看起来好像跟新的差不多呢？

三森: 呵呵，是吗？
三森: 其实仔细看的话已经起毛球了，而且到处都有修补的痕迹哦。

三森: 但对我来说……这是无可取代的围裙。

三森: 不只穿起来很舒服，最重要的是它所带给我的安心感……

三森: 打扫、做料理、洗衣服、裁缝、读心……用途无穷无尽呢。

老师: ……读心？

三森: 啊，不，不对！

三森: 不是的！是我说错了！

旁白: （虽然多次询问有关读心的事，但三森总是会马上转移话题……）

三森: 由于是在很久之前买的，当时都得折好几次才能穿。

三森: 那时……我心里是这么想的──
三森: 等这件围裙变合身的时候，我一定已经更接近自己的梦想了吧。

三森: 呵呵……真怀念。
三森: 现在回想起来好像有点难为情呢。

老师: 我觉得这不是件需要感到害羞的事哦？

三森: 是吗……我也不清楚。

三森: 当时的我认为只要有所期待，任何事都能如愿以偿。

三森: 如今围裙已经变得如此合身……

三森: 而我是否成为年幼时希望成为的自己了呢……我并不清楚。

旁白: （正打算告诉三森已经够努力了的瞬间──）

三森: 啊，老师，您现在是不是想说「我已经够努力了」？

老师: 你怎么知道！？

三森: 呵呵……可能是因为这很像是老师会说的话吧。
三森: 我感到很安心，谢谢您。

<选择>
3. 老师: 这件围裙果然有什么秘密吧！

4. 老师: 只要穿上就能提升读心术的能力之类的！？
</选择>

三森: 什，什么！？
三森: 我从来没有这么说过哦……？

三森: 就，就算老师用「全都明白了」 的表情看我也……！

三森: 老师？老师？？

旁白: （三森难得表现出慌张的一面，然而却还是没有好好回答问题……）
