令女——羁绊剧情 2

羁绊等级：3
场景地点：玄武商会总店

标题: 换个思考方式

旁白: 玄武商会总店

令女: 请问餐点还合您的胃口吗，老师？

<选择>
1. 老师: 超棒的！
令女: 是吗？那真是太好了。
令女: 接下来我要说点生意人的客套话。

令女: 今日非常感谢您莅临玄武商会，期待您的下次光临。

2. 老师: 之后也想吃吃看令女做的料理呢。
</选择>

令女: 我做的料理……是吗？

令女: 其实我在玄武商会负责的是经纪人的工作，而不是厨师……

令女: 不过好吧，希望之后有机会能亲自在夏莱为老师下厨。

玄武商会成员: 紧，紧急通报！有间店家还没收到今天的食材！

令女: 是哪里？

玄武商会成员: 火锅路西侧的琼花园！

令女: 琼花园的话……嗯，原来是那里啊。
令女: 我知道了。

玄武商会成员: 该，该怎么办？
玄武商会成员: 这样下去的话，下午根本做不了生意……！

令女: 不够的食材先从总店的仓库调货吧。

令女: 虽然那些顶多只能撑三……不，是两个小时左右。
令女: 那么……

令女: 把空闲的运送人力都派到虹正路3号的新兴楼。
令女: 我会联络一下，把两台卡车也派过去支援。

令女: 新兴楼今天休息，应该可以补足才对。

令女: 现在情况紧急，货款就先由总店支付。
令女: 后续就等今天打烊结帐的时候再检查是否有遗漏吧。

玄武商会成员: 是！我知道了！

令女: 呼，总算搞定了。

餐厅客人: 这里就是山海经的玄武商会吗？

餐厅客人: 来来来～！随便什么都好，我要点这里最好吃的菜！

玄武商会成员: 咦，咦？
玄武商会成员: 您这么说……

令女: 我先帮您带位吧。请跟我来。

令女: 诚挚感谢您莅临玄武商会。

令女: 由于您刚才表示要点最好吃的料理，个人建议本日的主厨推荐，您觉得如何呢？

餐厅客人: 哦，还有那种料理啊？但菜单上好像没有耶！

令女: 因为那是特殊料理。

玄武商会成员: 我，我们有那种料理吗！？

令女: 实际上当然没有……但这种时候应该优先将情绪价值提供给客人。

餐厅客人: 嗯？有什么问题吗？

令女: 不是的，主厨刚才正好跟我说了有关料理的事。
令女: 今天的推荐料理……是鲍鱼套餐。

餐厅客人: 鲍鱼！而且还是套餐！真令人期待！

玄武商会成员: 那，那个不是很贵吗！？

令女: 客人从头到尾都没提到过价格吧。

令女: 如果端出物美价廉的料理，这种客人反而还会因为觉得自己没有受到款待而生气呢。

令女: 那么，这位客人。还请您稍等片刻。

令女: 尽快告知厨房吧。

玄武商会成员: 是，我知道了！

令女: 真是的，今天怎么特别忙啊。
令女: 难得老师也来了说……

???: 我明明已经结过帐了！

玄武商会成员: 但是客人……

餐厅客人B: 我知道了。你们是想从我身上剥两次皮对吧！

令女: 客人，请问发生什么事了吗？

餐厅客人B: 我刚才明明用付款APP付过钱了，
餐厅客人B: 但你们的员工却突然说付款失败，还要我再付一次！？

餐厅客人B: 这就是大名鼎鼎的玄武商会的待客之道吗？

玄武商会成员: 但是我们……

令女: 您的意思我明白了。
令女: 如果是我们商会的疏失，稍后一定会向您致歉。

令女: 不过在那之前，可以先让我们查看监视器，拿到电子签核公司的交易明细吗？

令女: 毕竟这种事情需要「确实明确地」确认清楚。

餐厅客人B: 咦……？监视器……？交易明细……？

令女: 是的。作为应对突发事态的准备，我们玄武商会总店到处都安装了监视器。

令女: 传送交易明细也不会花费太多时间。
令女: 您只需要静候5分钟，所有事项就能确认完毕。

餐厅客人B: 呃～那个，就是……仔细想想，我刚才好像没确认付款APP到底有没有开启。

餐厅客人B: 所以也不必劳烦你们一一确认……

令女: 您快别这么说。
令女: 这本来就是我们应该承担的责任，您不需要感到过意不去。

令女: 以防万一也通知您一声，我们玄武商会的监视器含有录音功能。

餐厅客人B: 录，录音！？

令女: 是的。碰巧想到就提醒您一下。
令女: 话说客人您还好吗？有没有觉得哪里不舒服？

餐厅客人B: 没，没事，我很好！真的没什么！

令女: 非常抱歉，老师。我忙得晕头转向的。

老师: 真是令人钦佩……

令女: 嗯？您，您为何突然这么说？

令女: 啊……处理状况的手腕很厉害？

令女: 感谢您的赞美。
令女: 商会的工作做久了，常常会碰到这种事。

令女: ……虽然今天的紧急状况，不知为何比平时还多就是了。

令女: 真正重要的活动都还没开始就这样的话，真不知该如何是好……

老师: 还有其他活动吗？

令女: 那个……不知道该不该跟您说这些……

令女: ……其实稍后会有梅花园的学生团体来访。

令女: 虽，虽然自己这么说有点不好意思……

令女: 但小孩子有时实在有点不受控……

老师: 这对任何人来说都不容易……

令女: 谢谢您的理解。老师。

令女: 孩子们虽然既可爱又单纯……但他们和普通客人不同，经常会坚持己见。

令女: 嗯？老师会尽可能帮忙？
令女: 可是……

令女: 我，我明白了。
令女: 这种时候坦率地接受好意才是上策吧。

令女: 谢谢您，老师。
令女: 那就请您多多指教了。

梅花园学生A: 老师老师！你看这边！
梅花园学生A: 这只鱿鱼长得好像花哦！很厉害吧？

老师: 就是说呀，真厉害。听说要刀工好才能切成这样哦。

梅花园学生B: 老师老师。
梅花园学生B: 听说有一种食物叫章鱼香肠，在这里能吃到吗？

梅花园学生B: 还有章鱼香肠是用章鱼做成的香肠吗？
梅花园学生B: 可是我不太喜欢章鱼耶……因为太难咬断了！

老师: 不是那样的。章鱼香肠是做成章鱼模样的香肠哦。

梅花园学生B: 真的吗？那我也想吃吃看！老师没有骗我吧？

梅花园学生B: 之前梅花园就有发生过，
梅花园学生B: 明明说是好吃的牛肉炒饭，结果却把青椒和花椰菜切成块一起炒……

令女: 老师相当擅长照顾小孩子呢。真是太厉害了。

令女: 不介意的话……可以向您请教一下秘诀吗……？

<选择>
3. 老师: 倒称不上是什么秘诀。

4. 老师: 但有时候并不是非得『解决』问题不可。
</选择>

令女: 咦？明明问题发生了却不要尝试解决？
令女: 这是什么意思……？

令女: 啊……有时候只要好好倾听就行了？

令女: 这……老实说，我并没有这样想过。

老师: 令女要不要也试试看？

令女: 我明白了。
令女: 毕竟这本来就是我应该做的事。

梅花园学生C: 我喜欢吃虾饺！猪肉饺也喜欢！

梅花园学生C: 没有内馅的饺子也很棒，还有煎饺子、炸饺子……

梅花园学生C: 咦？但说来说去，我到底喜欢什么饺子呢？

令女: 如，如果没有特别不喜欢的种类，应该能算是全部都喜欢吧……？

梅花园学生C: 听你这么一说，确实是呢！
梅花园学生C: 啊……可是我讨厌用海带做的饺子……因为滑滑的……

令女: 那个已经不是饺子，是其他食物了吧……？

梅花园学生D: ……外食文化的普及其实是件令人心痛的事。
梅花园学生D: 因为那正是众人都没有时间料理的证据。

梅花园学生D: 虽然在餐厅用餐是为了节省时间，
梅花园学生D: 但因此省下来的时间，往往会被用来做更多的工作。

梅花园学生D: 甚至就连雇主也无法回避这个问题。体系已经决定了一切。

令女: 那个……食物有什么问题吗……？

梅花园学生D: 没有任何问题……反而更令人难过。

令女: ……顺利结束了呢。

令女: 虽然孩子们总是挂在我身上，或是想玩捉迷藏，让人有点不知所措……

老师: 那不就代表他们和令女变得很要好吗？

令女: 是的，他们说有机会的话，之后还想再来。

令女: 从接待客人的立场来看，这种话无论听见几次依然很让人高兴呢。

令女: 从各个方面来说，今天的经验都十分新鲜。

令女: 非常谢谢您，老师。

老师: 我其实也没做什么。

令女: 老师您或许是这么想的，但我并不这么认为哦。

令女: 以后也请多多指教，老师。
