伊吹——羁绊剧情 4

羁绊等级：6

标题: 跟伊吹一起学算术！

旁白: （收到伊吹的联络后，前往了格黑娜学园万魔殿的休息室）

伊吹: 啊！老师！谢谢你来！

伊吹: 我在等你哦！

<选择>
1. 老师: 伊吹决定好想做的事情了吗？

2. 老师: 伊吹找到喜欢的事情了吗？

</选择>

伊吹: 嗯！上次和老师去过各种地方之后，我就一直在想。

伊吹: 这个看起来很有趣，那个看起来也很有趣，真的很难抉择……

伊吹: 想成为警察，也想成为厨师，也想成为战车长……

伊吹: 不过老师，我发现一件神奇的事哦！

伊吹: 经过思考之后，我突然想到了老师！

老师: 我？

伊吹: 嗯！老师能理解伊吹的心情……

伊吹: 还会把夏莱变成游乐园……

伊吹: 伊吹想要做什么事情……老师也都能教我！

伊吹: 所以……

伊吹: 伊吹总有一天也想变得和老师一样！

老师: 伊吹老师啊……真令人期待？

伊吹: 嘿嘿，真的吗？

伊吹: 所以我想让老师看一个东西！

伊吹: 邀请老师来就是想让老师看这个！

老师: 是什么呢？真令人好奇。

伊吹: 来这边！

伊吹: 欢迎来到伊吹的算术教室！

伊吹: 今天伊吹是老师唷！

伊吹: 从现在开始……要上算数课！

伊吹: 伊吹，对算数很有自信！

伊吹: 昨天考试拿了100分……

伊吹: 还拿到了花丸印章！

老师: 好厉害，不愧是伊吹老师！

伊吹: 耶嘿嘿……那，老师……

伊吹: 伊吹老师要出问题了！

伊吹: 这边！有冰淇淋2个，

伊吹: 还有布丁1个。

伊吹: 全部有几个呢～？

老师: 加起来总共是3个……？

伊吹: 噗噗～！真可惜！

伊吹: 正确答案是～……

老师: 答案是……？

伊吹: 「如果有3个点心就会超级幸福～」唷！

伊吹: 啊！吃完之后，

伊吹: 别忘记要刷牙哦！

伊吹: 伊吹我呀，每天3次，

伊吹: 都有好好刷牙唷！

伊吹: 伊吹的课程怎么样呀，老师？

老师: 老师很有魅力，课程也很棒。

伊吹: 嘿嘿，真的吗？

伊吹: 嗯，等到伊吹变得和前辈跟老师一样大之后……

伊吹: 一定要成为和老师一样的大人！

老师: 伊吹一定没问题的。

伊吹: 真的吗～？

伊吹: 耶嘿嘿，嗯！谢谢老师！

伊吹: 伊吹！会好好努力的～！

旁白: （之后的好一段时间里，都在教室里听著伊吹老师的课程）
