佳世子——羁绊剧情 2

羁绊等级：3
场景地点：便利屋68．办公室

标题: 办公室的清扫

旁白: 便利屋68．办公室

佳世子: 嗯……？老师？

佳世子: 你来得比我预期得还早呢，

佳世子: 要是知道你会这么早来，我就把打扫办公室的时间定晚一点了……

老师: 其他成员呢？

佳世子: 其他社员昨天处理委托到半夜。
佳世子: 都还没来上班。

佳世子: ……我？我没问题。
佳世子: 我到早上都很有精神。

佳世子: 所以只有我一个人提早进公司的时候，偶尔会像这样顺便整理一下办公室。

佳世子: 你说大家一起打扫不是比较快吗？

佳世子: 虽然是那么说没错……

佳世子: 因为我觉得如果刻意说要打扫，感觉好像有点跩……
佳世子: 重要的是很麻烦。

佳世子: 而且亚瑠和遥香，偶尔也会把弄乱的东西整理好，所以其实没什么需要打扫的。

佳世子: 与其找人帮忙，这种麻烦事还是自己处理比较自在。

老师: 我来帮忙打扫吧。

佳世子: ……老师，你有在听我说话吗？

佳世子: 何况这是我们便利屋的事情，跟老师没关系。

佳世子: 还是你打算让我一直欠人情，让我一直愧疚下去？

佳世子: 你说是你只是做自己想做的事，叫我不要放在心上？

佳世子: 但是……

佳世子: 算了，为那种小事争执也太可笑了。

佳世子: 虽然不会插手别人的事，但很欢迎别人插手自己的事。

佳世子: 就像这间便利屋的理念一样，呵呵。

佳世子: 那就麻烦老师搬重物啰。

旁白: （之后，和佳世子一起把办公室打扫的干干净净）
