宁瑠——羁绊剧情 1

羁绊等级：2
场景地点：千年自治区公园

标题: 惊人的平凡

旁白: 千年自治区公园

老师: 嗨，宁瑠。

宁瑠（制服）: 啊，老师。

宁瑠（制服）: 我没注意到你已经来了，差点就睡著了呢。

老师: 你穿著制服耶？

宁瑠（制服）: 啊，这是我第一次穿这样跟老师见面吗？

宁瑠（制服）: 总之大概就是这样。

宁瑠（制服）: 研讨会的会计拜托我在活动期间穿著制服。

宁瑠（制服）: 要是平常的话，我肯定会无视他……

宁瑠（制服）: 不晓得那个活动到底有多重要……
宁瑠（制服）: 他一直苦苦哀求，害我实在没办法拒绝。

宁瑠（制服）: 唔唔……其实请老师过来也是因为衣服的关系。

宁瑠（制服）: 没穿著丝卡将，总觉得有点空虚。

宁瑠（制服）: 所以……老师你有没有……什么建议……

宁瑠（制服）: ……

宁瑠（制服）: 呃啊啊啊啊！

老师: 爆，爆炸了！？

宁瑠（制服）: 不是有点空虚，而是非常空虚！

宁瑠（制服）: 好尴尬！超奇怪！有种被脱光了的感觉！

宁瑠（制服）: 老师觉得怎样？只穿制服果然很奇怪吧？
宁瑠（制服）: 我是不是应该硬穿上丝卡将才对！？

老师: ……很平凡很可爱啊。

宁瑠（制服）: 什，什么！？

宁瑠（制服）: 别闹了！现在可不是开玩笑的时候！

老师: ……很平凡很适合啊。

宁瑠（制服）: 怎，怎么可能……？

宁瑠（制服）: 咳哼，总，总之！

宁瑠（制服）: 我找你出来就是为了这件事。

宁瑠（制服）: 算了，老师看起来也不会觉得奇怪就好。

宁瑠（制服）: 总算能松一口气了。
宁瑠（制服）: 当然我并不觉得这样可爱或适合我之类的。

老师: 不用担心。

老师: 无论身上穿著什么衣服，宁瑠就是宁瑠啊？

宁瑠（制服）: 啊？那还用说吗！

宁瑠（制服）: 就算没穿著丝卡将，要打倒一两群太妹也是轻轻松松！

宁瑠（制服）: 嗯？我好像变回原本的样子了？

宁瑠（制服）: ……哈哈！

宁瑠（制服）: 果然跟老师聊聊是正确的决定。
宁瑠（制服）: 现在我心情好多了。

宁瑠（制服）: 那老师，虽然事情已经解决，但就这样告别实在有点可惜……要不要再一起坐坐？

宁瑠（制服）: 来吧，跟我来。

宁瑠（制服）: 话说今天学园里好像特别安静耶。

宁瑠（制服）: 不知道是因为活动的关系，还是只是我的错觉……

老师: 我觉得跟平常差不多啊……

宁瑠（制服）: 不不不，气氛确实不一样。

宁瑠（制服）: 看来千年发生了某些我不知道的事。

宁瑠（制服）: 啊，又来了。你仔细看。

老师: 我不太懂耶……

宁瑠（制服）: 我明明从刚才就坐在这张长椅上，结果学生们居然直接从我面前经过。

宁瑠（制服）: 啊？你问那又怎样？
宁瑠（制服）: 平常看到我的时候，他们总是会说「C&C的部长怎么会在这里……？」，
宁瑠（制服）: 或者「对到眼了，好可怕……！」之类的。

宁瑠（制服）: 真爱大惊小怪。

老师: （女仆装完全没有发挥伪装功能……）

宁瑠（制服）: 不过今天却完～全没有听见那些话。

宁瑠（制服）: 当然我也不想引人注目，其他人说什么我也不在意……
宁瑠（制服）: 只是跟平常不一样，总让人觉得有点奇怪。

宁瑠（制服）: 就好像有什么重要的事情，却只有我不知道一样……

宁瑠（制服）: 啊啊，该死！会这样心神不宁也是因为没有穿丝卡将吗？

<选择>
3. 老师: 你，你先冷静。

4. 老师: 先平复一下情绪……
</选择>

宁瑠（制服）: 呼……

宁瑠（制服）: 老师有什么头绪吗？
宁瑠（制服）: 我不管怎么想都觉得怪怪的。

老师: 这个嘛……

太妹: 哎呀，我们的基地有客人啊？

太妹: 嘻嘻嘻，这个公园是我们的地盘。
太妹: 想坐长椅就要付出代价！

太妹: 先要一点能在十字路口的路边摊买可丽饼吃的钱吧？

宁瑠（制服）: ……？

宁瑠（制服）: 刚才那些话是对我说的吗？

太妹: 除了你还能是谁──

太妹: 咦？你……

太妹: 嗯？好像很常在哪里看到……不对，你不是美甘宁瑠吗！

宁瑠（制服）: 我记得你耶？之前不是被我教训过了吗？

太妹: 怎么没穿丝卡将啊！

太妹: 犯规！这是陷阱！太过分了！

太妹: 至少要穿著丝卡将，让人看到之后有时间可以逃跑啊！

宁瑠（制服）: 今天穿这身衣服是有原因的。

宁瑠（制服）: 话又说回来，还记得之前见面的时候，我说了什么吗？

小流氓全体: 咦咦！？

宁瑠（制服）: 我说过要是敢再为非作歹，就要把你痛扁一顿吧？

小流氓全体: 可恶……

小流氓全体: 我，我们走著瞧！

老师: 一，一下子就……

宁瑠（制服）: 看在他们敢主动挑战的勇气上，这次就放过他们吧。哈哈！

宁瑠（制服）: 居然会被别人讨保护费，还真是个新鲜的经验。

老师: 他们好像没认出是宁瑠？

宁瑠（制服）: 是吗？如果知道是我，刚才就不会像那样接近了吧……

宁瑠（制服）: 没认出来的原因……

老师: 是因为丝卡将？

宁瑠（制服）: 毕竟丝卡将很华丽，就算在远处也很容易认出来……

宁瑠（制服）: 等等，所以我之所以觉得学园的气氛不一样，并不是因为出了什么事……

宁瑠（制服）: 而是因为大家不知道是我吗？

老师: 我想应该是吧……

宁瑠（制服）: 谁也认不出我来……这……

宁瑠（制服）: 好像也不是坏事？

宁瑠（制服）: 真是种不可思议的感觉耶？我从来没遇过这种事。

宁瑠（制服）: 就连刚才那种少见的体验也是。哈哈哈！

老师: 你，你喜欢这样吗？

宁瑠（制服）: 这个嘛，如果问我要选哪边的话，我当然觉得有丝卡将比较好……

宁瑠（制服）: 不过我开始觉得有点兴奋了！

宁瑠（制服）: 啊，对了！

宁瑠（制服）: 如果穿成这样去上课会怎么样？大家会都认不出我吗？

宁瑠（制服）: 真想赶快试试看！
宁瑠（制服）: 我们一起走吧，老师！快点！

旁白: （之后便和兴奋的宁瑠一起，在千年学园里四处闲逛）
