志美子——羁绊剧情 1

羁绊等级：2

标题: 爱书的少女

志美子: 老师早安！你真的来了啊。

志美子: 虽然是我邀你来的，但我也知道老师是个大忙人……所以我很高兴老师真的能来，谢谢老师。

志美子: 也很抱歉请老师来这么一个，做不了什么款待的地方。

志美子: 啊……对不起，我们把音量降低一点吧。这里还有其他人在看书……

志美子: 这间图书馆很大，小声交谈应该没有问题。结构上也不会有太大的回音。

志美子: 当然这只是以防万一啦。但还是谢谢老师配合，呵呵。

志美子: 既然来了，老师要不要也借一本书呢？

志美子: 我也会尽全力帮老师选一本推荐的书！

志美子: 老师喜欢什么类型呢？小说？自传？或是非文学？这里也有科学杂志之类的喔……

<选择>
1. 老师: 我现在想悠闲地看小说。
志美子: 果然……很符合老师的形象！那就交给我吧！

2. 老师: 我想看一些料理书或旅游攻略之类的。
志美子: 果然……很符合老师的形象！那就交给我吧！

</选择>

志美子: 我看看……那我们来看看这区……

志美子: ……？嗯？怎么这么吵闹？

不速之客: 哇哈哈哈哈！这个超好笑！呀哈哈哈！啊哈、哈、嘻──，肚子好痛！啊嘿嘿嘿！

不速之客: ……啊啊？你们看什么看。有什么意见吗？我可是客人啊！

不速之客: 啊～饼干好好吃……啊姆姆，喀滋喀滋……啊，屑屑。算了，反正会有人打扫嘛。

志美子: ……

志美子: 请老师稍等一下。身为图书管理员实在不能放任不管。

志美子: 不好意思，这位同学。

不速之客: 哦？什么？我？

志美子: 是。就是你。这里是公共场所，可以请你遵守规矩吗。

志美子: 虽然不会要你完全不讲话，但你的举止实在太超过了。

志美子: 更何况这里禁带外食，饮料也只能装在密封容器里用吸管喝。

志美子: 请你不要造成其他人的困扰！

不速之客: 扫兴……来了个死板的家伙……老娘难得有兴致要来这种地方看书！

不速之客: 来啊，来打架啊。像你这种人就是要吃一次苦头才会懂啦。

旁白: （啪嚓）

志美子: ……！

志美子: ……你。

志美子: ……你刚才，做了什么？

志美子: 你刚才……该不会在折书页吧？

不速之客: 哈？这不是废话吗？不然要怎么记得看到哪里了。

志美子: ……你这个……

志美子: 不尊重书的人！！！！

旁白: （哐───！！！！！）

不速之客: ……！？！？

不速之客: 咕啊……刚才……？咦……？世界，怎么……变成灰色……

不速之客: 啊，是小学开学……和生日派对……的回忆……

不速之客: 什么？……河？是谁？对岸……有个老爷爷……

不速之客: ……啊！？怎，怎么回事……书角，打到我的头……？

志美子: 虽然也有其他很多问题行为，但唯一绝对饶不了的，就是毁损书本！

志美子: 竟然连书本的价值都不懂！看来你需要彻底教育一番……

志美子: 包括赔偿折到的书本，这代价可是很重的……请你觉悟吧！

不速之客: 唔，头好痛……视线总算清楚了……？

不速之客: 不对！我差点就没命了耶！都看到跑马灯了啊！

志美子: 人不会这么容易就死的。然后这本书的材料也不会因为这点冲击而变形，我也有调整力道了。

不速之客: 问题不在那里好吧！这家伙是怎样！？真的是图书管理员吗！？

不速之客: 可恶……！那现在轮到我了！接招吧！

旁白: 吃我一拳！！

老师: 志美子！

旁白: （接住）

不速之客: ……哈？

不速之客: 咦？不是吧……？

不速之客: 一只手，就挡下了拳头……？

志美子: ……你以为只看封面，就能充分了解书本的内容吗？

志美子: 只要是有在看书的人，都会明白这个道理。请别以为我是图书管理员就小看我。

志美子: 你知道图书管理员一天要搬多少书吗？一次要搬几本书吗？

志美子: 就算单论臂力，我也不会输给你这种人。

不速之客: 什，什么……！？被，被抬起来了……！？

不速之客: 呜，呜啊！？放，放我下来！放我下来！

志美子: ……呼。

志美子: 虽然很想就这样把你摔出去，但我不想发出太大的声响。

志美子: 下次不会再通融了哦，知道吗？

不速之客: 我，我知道了。我知道了啦！我以后会确实……

不速之客: 确实守规矩……

不速之客: ……才有鬼啦！闪人啦！！！！

志美子: ……

不速之客: ……？

不速之客: ……咦？哈？什么时候……？

志美子: 呼……

志美子: 为什么同样的话要我重复这么多次呢……

志美子: 你可知道图书管理员的工作内容吗？

志美子: 图书管理员为了把所有借还得书本放回去，你觉得每天总共要移动多少距离？

志美子: 不发出声音快速移动，这可是图书管理员的必备技能。

志美子: 然后，身为图书管理员当然也要随时保持笑容，但你似乎没有反省的意思……

志美子: 这下我也很难再保持笑容了。

不速之客: 吓！？不，不要笑！好可怕，不要用那种笑容靠过来！

不速之客: 不，不要过来……！不要靠近我啊！

不速之客: 呜，呜啊啊……唔！

旁白: （结果不良学生在叫都叫不出来的状态下，接受了志美子的「教育」）

旁白: （稍后……）

志美子: ……呼。难免就是会有那样的人呢……

志美子: 对不起，老师。明明就是我邀你来的，却让你看到难堪的模样。

志美子: 原本还想向老师展现，更稳重、更有知性的一面……

<选择>
3. 老师: 不会喔，感觉就像是知识的守护者。
志美子: ……！

4. 老师: 很有知性（？）很帅气喔，志美子！
志美子: ……！

</选择>

志美子: 那，那种客套话……

志美子: ……呵呵。

志美子: 不，能听到老师这么说就很开心了。

志美子: 谢谢老师。虽然时间迟了点，但让我重新邀请你在这里慢慢放松吧！

旁白: （之后，我便读著志美子推荐的书，悠哉度过了剩余的时间）

旁白: （……幸好今天带的咖啡，是要插吸管喝的密封包装）
