日步美——羁绊剧情 4

羁绊等级：6
场景地点：三一综合学园．教室

标题: 烦恼咨询

旁白: 三一综合学园．教室

日步美: 唉……

老师: 发生什么事了？

日步美: 啊？老，老师！？你什么时候来的？

日步美: 啊，是看了我的讯息后就来了吗？

日步美: 不好意思，又让你担心了……

日步美: 其实有烦恼的不是我，而是我的朋友……

日步美: 不知道是不是因为我总是心情很好，看起来没什么烦恼的关系，有很多朋友常常会来找我诉说烦恼。

日步美: 今天也有某个朋友来找我倾诉，但我却完全帮不上忙……

日步美: 只能听著他说，附和几句而已。

日步美: 要是我不是这么平凡的话，要是有能解决问题的能力的话，我和朋友们就不会难受了……

日步美: 因为这件事整天的心情都不太好……虽然就算这样也无济于事……

日步美: 欸嘿嘿，仔细想想，好像说了件很羞耻的事呢。

日步美: 明明就算和老师说，也没办法解决那件朋友的事，但无论如何都想要告诉老师……

老师: 我觉得日步美已经为他做了很棒的事了唷。

日步美: 咦？我做了很棒的事……？

日步美: 我只不过是听那个朋友说话而已……

日步美: 或许比什么都没做好一点，但这样就很好了吗？

老师: 因为日步美是可以诉说烦恼、值得信赖的朋友呢。

日步美: 值得信赖……

日步美: 这么说也对。既然朋友都来依靠我了，连我都一起失落可不行……

日步美: 至少要像平常一样声援朋友，这样肯定会比较好吧？

日步美: 非常感谢。托老师的福，感觉烦恼减轻了不少。

日步美: 呵呵。只要有人愿意听自己说话，真的就会快乐很多呢。

日步美: 老师，之后我有烦恼的时候……也请老师听我说吧。

日步美: 我会这么想也是因为我有那么信赖老师哦！
