旬——羁绊剧情 2

羁绊等级：3
场景地点：山海经．梅花园

标题: 用餐之后，要把牙齿刷干净

旁白: 山海经．梅花园

旬: 各位同学～大家有没有把午餐吃光光啊？

梅花园的学生们: 有～！

旬: 呵呵，大家好棒喔。还有，大家吃完饭都有刷牙吗？

梅花园的学生们: 有～

旬: 可是呀，我发现最近有些小朋友都不乖乖刷牙。所以我请老师来跟我一起演人偶剧，让大家看看不刷牙的话会发生什么事。

旬: 来，大家要专心看清楚哦～

旬: 大家吃完甜食之后，甜食的渣渣会像这样残留在牙齿上。
旬: 此时可怕的蛀牙菌，会闻到这股味道找上门来。

旬: 来，老师，就是现在。请你帮我演蛀牙菌。

老师: 呀，呀喔喔喔──

梅花园的学生们: 好，好可怕……

旬: 请看，很可怕对吧？不好好刷牙的话，这么可怕的蛀牙菌就会来找你喔。

旬: 可是只要好好刷牙，就能让蛀牙菌无法作乱了。

旬: 来，老师，请接著演下去。

老师: 唔……竟然在刷牙……好痛苦啊──

梅花园的学生们: 哇，蛀牙菌被打倒了！

旬: 来，大家都看到了吧？
旬: 为了打倒可怕的蛀牙菌，大家都要好好刷牙唷！

梅花园的学生们: 好～！

旬: 谢谢老师帮忙今天的人偶剧。老师的演技真的很棒呢！

老师: 总觉得很难为情……

旬: 不过孩子们都很捧场呢！

旬: 托你的福，梅花园的孩子们以后应该会乖乖刷牙了。呵呵…

旬: 对了，老师今天吃完饭，应该也有好好刷牙吧？

老师: 当然。

旬: 唔嗯，光用说的我不信。请老师「啊～」一下。

旬: 来嘛，不要害羞，啊～

老师: 不得已张开口

旬: 老师好棒喔。看来你平常就有乖乖刷牙呢，牙齿很干净唷。

旬: 这样的话，就不用担心可怕的蛀牙菌找上门了。呵呵……

旬: 咦，老师怎么了吗？

旬: 你说我的脸太靠近了，要我离远一点？

旬: 呵呵，不行。在仔细检查完嘴巴每个角落之前，我是不会让开的。

旬: 来，不用害羞，再把嘴巴张开一次。啊～
