枫——羁绊剧情 3

羁绊等级：5

标题: 想成为大人的理由

枫: 老师，我来帮忙了──！

枫: ……咦？一个人都没有。

枫: 是去厕所了吗？

枫: 啊啊！桌上乱成一团！要是被三森前辈那样爱整洁的人看到会挨骂的！

枫: 啊，是咖啡。老师没喝完的咖啡。

枫: ……

枫: 咕噜……

枫: 好苦！！！

枫: 恶……大人都喝这种东西吗……？喝香蕉牛奶不好吗……

枫: 大人还真是奇怪……而且这咖啡还冷掉了。

枫: ……啊，我想到一个好主意！

枫: 要是我帮老师重新泡一杯热热的咖啡……

枫: 不就很有「完美淑女」的感觉了吗！

枫: 昨天那场有点成熟的连续剧，

枫: 也有出现类似的场景！

枫: 好！那我就要来泡一杯「小枫特制特调」！

枫: 哼哼～♪

枫: 把这个这样子……

枫: 嗯～……大概这样就行了吧？

枫: 泡好了！小枫特制特调．超级无敌版！

枫: 等老师回来看到这个，一定会觉得……

枫: 耶嘿嘿！老师真是的～怎么可以突然问我想要什么玩具啦～！

枫: ……嗯，很完美！现在只要拿到老师的座位上放好……

枫: 呜哇！？

枫: 啊，啊啊啊啊！？

枫: 咖啡啊啊啊──！？

老师: ……总之，能请你说明一下这个惨况吗？

枫: 这是，那个……我只是，想要来帮老师的忙……

枫: 我来到夏莱之后发现老师不在，老师的桌上也乱乱的……

枫: 然，然后咖啡也冷掉了，就想说重泡一杯让老师开心……

枫: 所以我就，努力泡了一杯……

老师: 枫。

枫: 噫！对不起！

枫: 我，我只是希望得到老师的夸奖，只是想说如果做得很好，老师可能会买玩具给我……！

枫: 觉得如果做得不错，应该就能成为完美淑女……

枫: 结果那个……状况却不如预期，还有点……

枫: 我，我是真的有心想要帮忙的……

枫: 我真的……没有打算要捣蛋……

老师: 枫，慢点。

枫: 呜呜……！

枫: 呜哇啊啊啊啊！对不起！

枫: 我擅自闯进来，到处乱翻……！

枫: 而且还真的把办公室弄得一团乱……

枫: 对不，起……

枫: 老师原本就已经很忙了……

枫: 结果我还给老师添麻烦……

枫: 什么忙都帮不上……

枫: 呜……

老师: 枫，你冷静点。

枫: ……？

老师: 对不起，我问的口气太凶了。总之你先等我一下。

枫: ？？？

老师: 来，热可可。把它喝下去冷静一下吧。

枫: 我，我身为淑女，应该要喝黑咖啡……

老师: 你不喜欢可可吗？

枫: …………喜欢。

枫: （咕噜）

老师: 趁这个机会，我可以问你一件事吗？

枫: ……嗯。

老师: 枫总是努力要成为完美淑女，对不对。

枫: …………嗯。

老师: 那是为什么呢？

枫: ……

枫: 因为……

老师: 嗯。

枫: ……

枫: 我小时候，是个捣蛋鬼……

老师: 捣蛋鬼？

枫: 我小时候住在乡下时……

枫: 会在山上，在海边到处跑。

枫: 直到上国中之前，每天都在各种地方闲晃，到处恶作剧。

枫: 尽做些自以为好玩的事。

枫: 因为那里在百鬼夜行自治区当中，也是个特别乡下的地区，

枫: 所以我是升上高中，才第一次来到这里。

枫: 甚至也是因为要来这边，才第一次搭电车。

枫: 话说第一次搭电车的时候，我还以为要脱鞋子呢！害其他人都用异样的眼光看我！

枫: 啊。

枫: 不对，我要说的不是这个……

老师: 嗯，然后呢？

枫: 然后，我来到这边之后。

枫: 只觉得非常不得了。

枫: 尤其是椿前辈和三森前辈！她们都好帅气，好漂亮，总之超厉害的！

枫: 我也想变得和她们一样。

枫: 我不想像以前一样，我想要成为一名，符合修行部成员身分的淑女。

