沙耶——羁绊剧情 6

羁绊等级：9
场景地点：沙耶的研究室、山海经．教室、山海经高级中学

标题: 下落不明的根津助

旁白: 沙耶的研究室

沙耶: 老师，糟了，出大事了！根津助牠……根津助牠……

沙耶: 根津助牠不见了！

沙耶: 原本在想会不会躲在哪里把研究室找过了，却完全找不到！

沙耶: 根津助什么都不说就不见什么的这是第一次……怎，怎么办？呜哇啊啊啊！

老师: （让沙耶冷静）

沙耶: 呜，呜呜。但是……如果根津助有什么万一的话……

沙耶: 咦，根津助可能会去的地方？
沙耶: 根津助和我是伙伴，总是在一起，没有一个人去过任何地方。

老师: 问问其他炼丹术研究会的部员吧。

沙耶: 我知道了……（啜泣）

旁白: 山海经．教室

炼丹术研究会成员A: 根津助不见了？那真是糟了呢……

沙耶: 今天，有看见根津助吗？

炼丹术研究会成员A: 不，我没有在前辈的研究室以外的地方看过根津助呢。

炼丹术研究会成员A: 不过真稀奇呢。根津助竟然自己一只不见了……

沙耶: 怎么办，呜呜……

炼丹术研究会成员A: 虽然这么说有点那个……根津助该不会离家出走了吧？

沙耶: ……离家出走？

炼丹术研究会成员A: 是的，毕竟前辈几乎每天，以实验为借口在欺负根津助……

炼丹术研究会成员A: 反而该说是，至今为止都没逃跑很厉害吗。

沙耶: 欺负什么的！我只是让牠帮忙实验，没有欺负过根津助！

炼丹术研究会成员A: 但是根津助牠，不想参加实验吧？
炼丹术研究会成员A: 毕竟常常变成奇怪的样子，我也能理解根津助的心情。

沙耶: 唔唔……

老师: 也问问其他部员吧。

沙耶: 我知道了……

炼丹术研究会成员B: 骗人，根津助前辈不见了吗？

沙耶: 嗯。今天，有在哪里看见根津助吗？

炼丹术研究会成员B: 唔嗯……今天没有看见根津助前辈的印象呢。

沙耶: 真的是，跑到哪里去了……（啜泣）

炼丹术研究会成员B: 那个──，虽然有点冒昧……不过根津助前辈会不会是离家出走了呢。

沙耶: 大家……为什么都那么想呢？

炼丹术研究会成员B: 大家……？那个，那是因为那个，根津助前辈总是被沙耶前辈欺负……

沙耶: 明明没有欺负牠的打算，呜呜呜……

老师: 在校内绕绕寻找根津助吧。

沙耶: 嗯……

旁白: 山海经高级中学

沙耶: 根津助──真的是，跑去哪里了……

老师: 那边也找找看吧。

沙耶: ……不用，已经够了。
沙耶: 根津助牠，一定是如部员所说的，离家出走了。

沙耶: 是我至今为止太欺负牠的错。呜呜……
沙耶: 根津助对我失望，不会再回来了。

老师: （说出，不能放弃）

沙耶: 老师至今为止也因为我的实验的错很难受吧？
沙耶: 然而……为什么要对我这么好呢？

<选择>
1. 老师: 我和沙耶在一起很开心唷。
沙耶: 老师……

2. 老师: 因为是老师呀。
沙耶: 老师……

</选择>

根津助: 啾，啾──啾──……

沙耶: 啊啊，根津助──……！你去哪里了啊，呜啊啊啊啊！

根津助: 啾──啾──……

沙耶: 呜，呜呜……因为我至今为止对你不好所以离家出走了吗？
沙耶: 真的很对不起哦……

根津助: 啾──啾──，啾。

沙耶: 咦？听说了商会在配发巨大的向日葵种子所以跑去了？
沙耶: 那为什么一声不响的就跑去了！一整天都在找你耶！

沙耶: 呜……不过对不起哦。今后不会再做过分的恶作剧了……
沙耶: 不可以再，什么都不说就消失了哦？

根津助: 啾──……

沙耶: 嗯，约定好了！今后只会让你陪我做认真的实验！

根津助: 啾──！

沙耶: 你这家伙，根津助！不要挣扎了！
沙耶: 不会再让你逃走了！

根津助: 啾，啾──啾──！

旁白: （那之后，沙耶和根津助融洽地回去研究室了）
