海花——羁绊剧情 5

羁绊等级：15

标题: 最初，也是最后

海花: 对不起，老师！

<选择>
1. 老师: 没事没事……只过了五分钟而已。

2. 老师: 不过海花居然会迟到，还真少见呢。
</选择>

海花: 那，那个……

海花: 因为刚才前面有人在准备庆典……我就看了一下……

老师: 准备庆典？

海花: 是的。商店街似乎正在准备一场小型庆典。

海花: 有点类似庆典氛围的义卖会，或者小型市集的感觉吧？

海花: 呜呜……虽然规模不大，不过身为节庆营运管理部的成员居然没注意到……
海花: 我得好好反省才行……

老师: 能发现这种容易错过的事情真厉害呢。不愧是海花。

海花: 没，没有啦。耶嘿嘿。

海花: 不过，看见他们那么努力准备的样子……

海花: 就会感觉自己也必须拚命活下去才行。

老师: （心里莫名有种突然被狠狠刺了一下的感觉……）

海花: 而且，我觉得就是因为有像庆典这样的休止符存在，人们才能更好地度过日常生活。

海花: 咦？这是什么意思……是吗？
海花: 唔嗯……该怎么说呢……

海花: 我认为庆典是一种脱离日常的体验。
海花: 只有在那个时间、那个地点才会开启的……一个崭新的世界。

海花: 啊，当然也不一定非得是庆典哦。
海花: 比如游乐园、旅行、游戏、电影、书籍……或许也代表相同的意义吧？

海花: 重点在于……让人们能暂时放下日常生活，感觉自己就像来到了另一个地方一样。

海花: 没错，一个崭新的世界！
海花: 就如我刚才所说……

海花: 所有人都撇开平常的事情……可以说是变成「傻瓜」的时间吧？

海花: 从早上热闹的庆典开始，直到夜晚的烟火秀落幕……
海花: 这整个过程就是一个世界的开启与闭合。

海花: 经历过那个世界的人，就能带著焕然一新的心情，再次充满干劲地回归日常生活。

海花: 说著说著，感觉有点像异世界或二次元之类的东西呢！

海花: 当然，这也并非没有缺点……

海花: 因为一旦沉浸在那种氛围里，就会不假思索地买一堆东西……

老师: 嗯……确实会有那种情况……

海花: 不，不过也有不会后悔的东西哦！

海花: 比如这个。

老师: 那是……人偶？

海花: 耶嘿嘿……是的。
海花: 这是我第一次去庆典时买的人偶。

海花: 那时候我的身高，应该只有现在的一半左右吧。

海花: 现在回想起来，也有点搞不清楚为什么要买……

海花: 不过那个时候……就是一眼就觉得它非买不可。

老师: 确实会有那种情况……

老师: 不过这个人偶，好像看不出是男是女呢？

海花: 就是说啊！我直到现在也还不知道呢！

海花: 当时摊贩老板只要我自己猜，结果最后还是没告诉我答案。

海花: 我一直心想「哪天一定要去问问看」……

海花: 耶嘿嘿，结果就变成这样了。

老师: 所以这是你第一次庆典的回忆啊。

海花: 没错！就是这样！

海花: 不过除此之外……这个人偶还有另一个惊喜哦！

老师: 真让人期待！

海花: 其，其实也不是什么大不了的事情……

海花: 实际上，这个人偶还有另一只。

老师: 哦哦，原来是一对的啊。

海花: 是的。

海花: 当时摊贩的老板说，要把这两个孩子一起带在身边……

海花: 带在身边……

老师: 带著身边……然后呢？

海花: 没，没没没没什么！

海花: 对不起，老师！我今天是值日生对吧！

海花: 对了，工作！我得帮老师工作才行！

老师: 海花？

海花: 来，来吧老师！我们快点把工作做完！

海花: 还有，庆典好像明天就要开始了……

海花: 如果老师方便的话，不知道能不能和我一起……

老师: 好啊，就这么办。

海花: ……！

海花: 谢谢老师！

旁白: （就这样，和海花一起完成了今天的工作）

旁白: （在海花平安回去之后……）

老师: 咦？

老师: 这个难道是……？

旁白: （正准备打电话跟海花说，他好像把人偶忘在这里的时候……）

旁白: （……决定放下人偶，改传MomoTalk的讯息给他）
