爱丽丝（女仆）——羁绊剧情 4

羁绊等级：15

标题: 女仆勇者的装备

爱丽丝: 所以！今天要来打扫老师的公会小屋！

老师: 公，公会……？

爱丽丝: 没错，爱丽丝知道。
爱丽丝: 公会是提供冒险家任务、奖励和协助组成队伍的地方！

爱丽丝: 而且还会把那些情报挂在布告栏通知大家！
爱丽丝: 所以这里就和公会小屋一样！

爱丽丝: 啊，但是公会要有漂亮姊姊来受理委托……怎么办，老师？

爱丽丝: 啊，有办法了！只要爱丽丝代替他们就行了！

爱丽丝: 可是再仔细想想……现在的爱丽丝是见习女仆勇者，不能随便转职……

爱丽丝: 哇啊！怎么办，老师？爱丽丝需要帮忙！

老师: 总之先来打扫吧……

爱丽丝: ……

爱丽丝: 说的也是！爱丽丝是来帮忙打扫的。

爱丽丝: 那么老师，一起打扫获得经验值，寻找隐藏道具来升级吧！

爱丽丝: 没有隐藏道具？怎么会呢。
爱丽丝: 看来老师只知其一，不知其二哦！

爱丽丝: 爱丽丝知道，只要打扫部室就会获得隐藏道具！通常是桃井和绿弄丢的游戏！

爱丽丝: 有时候还会发现柚子哦！

旁白: （看来有必要告诉游戏开发部整理整顿的重要性……）

爱丽丝: 哇！公会小屋变干净了！可是……

爱丽丝: 啊，这是史莱鲁……不对，是要洗的衣物吧？
爱丽丝: 爱丽丝有学过，打扫结束后洗衣服也很重要！

爱丽丝: 是跟谁学的？那当然是宁瑠前辈啰！
爱丽丝: 虽然宁瑠前辈还是很可怕……

爱丽丝: 但其实他真的很亲切哦！
爱丽丝: 那么老师，一起去把要洗的衣物洗干净吧。洗衣机在哪里？

爱丽丝: 咦？没有那种东西……？

爱丽丝: 这，这样不行，老师！
爱丽丝: 老师该不会连洗都没洗就继续穿了吧？那是不好的。

爱丽丝: 如果不把耐久度下降的铠甲修好，可能会永远毁损的哦……

老师: 别担心别担心，老师我自有妙计……

爱丽丝: 咦……？

爱丽丝: 原来如此！是付费委托自助洗衣店进行洗涤任务啊。
爱丽丝: 这样爱丽丝就放心了！

爱丽丝: 怎么了吗，老师？
爱丽丝: 发带？是指爱丽丝的女仆喀秋莎吗？

爱丽丝: 哦哦……真的脏了耶。
爱丽丝: 呜呜……可能是在打扫公会小屋的时候弄脏了。

老师: 既然这样就一起洗一洗吧。

爱丽丝: ……

爱丽丝: 知道了，老师。那就拜托了。

爱丽丝: 因为爱丽丝还有备用的女仆喀秋莎！

老师: 咦，你随身带著备用的女仆喀秋莎吗？

爱丽丝: 是！因为这是女仆勇者的三大证明之一。
爱丽丝: 随身带著备用品也是理所当然的！

老师: 女仆勇者的三大证明究竟是……

爱丽丝: 咦？老师不知道吗？
爱丽丝: 那就让爱丽丝来告诉你吧。

爱丽丝: 拖把、女仆装、女仆喀秋莎……这些就是能证明自己是女仆勇者的重要物品。

爱丽丝: 其中女仆喀秋莎是最重要的！

爱丽丝: 为什么最重要？
爱丽丝: 因为这是保护头部的道具！

爱丽丝: 头是很重要的……无论是肉体还是精神上都是如此。
爱丽丝: 要是头部受伤可能会很严重，而且如果头脑混乱的话，连该做的事都会做不好。

爱丽丝: 所以爱丽丝每当系上女仆喀秋莎的时候，都会做好身为女仆勇者的觉悟。

老师: （女仆勇者究竟是什么呢……）

爱丽丝: 嗯……心态是很重要的。

爱丽丝: 虽然眼睛看不见，手也碰不到……但如果没有它，爱丽丝就不知道自己是什么了。

爱丽丝: 所以对爱丽丝来说，这条能协助自己调整心态的女仆喀秋莎，是非常重要的装备。

老师: 但是和之前相比，不是已经进步很多了吗？

爱丽丝: 看起来有进步了吗？
爱丽丝: 谢谢你，爱丽丝很高兴能听见老师这么说。

爱丽丝: 但是……还差得很远也是事实。

旁白: （嗡嗡嗡……）

旁白: （洗衣店里充斥著洗衣机运转的声音）

爱丽丝: 女仆的工作做得还是不完美。
爱丽丝: 虽然打扫稍微有进步，但洗衣服和做料理都还不够熟练。

爱丽丝: 就连现在，也在洗衣服方面输给了这台自助洗衣机……唔！

老师: 没事，没事……

爱丽丝: 至于勇者方面则更是不完美。

爱丽丝: 老师。爱丽丝希望世界上所有人都能获得幸福，希望没有任何人伤心难过。

爱丽丝: 当然……这应该很困难吧。
爱丽丝: 这是非常难达成的任务，也是一项伟大的成就。

爱丽丝: 因为爱丽丝目前只是见习勇者，无法达成这种丰功伟业……
爱丽丝: 但爱丽丝还是希望至少能保护身旁的所有人。

爱丽丝: 爱丽丝希望能这么做。为了达成这个目标……

爱丽丝: 除了强大的力量之外，良好的心态也是必须的。

爱丽丝: 没错，所以爱丽丝需要更加努力。

爱丽丝: 不过既然现在穿著女仆装，爱丽丝就也是一名女仆勇者！

老师: （所以说女仆勇者究竟是……）

爱丽丝: 老师。爱丽丝不认为世界上没有魔法。
爱丽丝: 没错，魔法是存在的。

爱丽丝: 爱丽丝认为魔法会让人幸福。

爱丽丝: 同时，世界也需要勇气。

爱丽丝: 爱丽丝所认为的勇气，是和辛苦的人站在同一阵线望向世界。

爱丽丝: 游戏之所以好玩，是因为其中充满了这个世界的美好。

爱丽丝: 就像沙漠之所以美丽，是因为某个地方隐藏著泉水一样。
爱丽丝: 啊，这是爱丽丝在童话书上看到的！

爱丽丝: 老师，爱丽丝想一步步地前进，更加了解这个世界。

爱丽丝: 当然爱丽丝也明白……世界并不是只有美好的事。
爱丽丝: 因此……有时候也会觉得有点害怕。

爱丽丝: 但是爱丽丝认为──不因此退缩也是另一种意义的勇气。

老师: ……如果还是觉得害怕的话，你会怎么做呢？

爱丽丝: ……

爱丽丝: 那个时候，爱丽丝会去找老师。

爱丽丝: 因为老师就是这样的人。因为老师是队伍的吉祥物。

爱丽丝: 虽然无法直接参与战斗，但只要待在队伍中就能发挥激励大家的作用。

爱丽丝: 所以，老师。

爱丽丝: 你之后还会继续陪爱丽丝一起冒险吗？

<选择>
1. 老师: 毕竟我是吉祥物嘛。

2. 老师: 当然要尽自己最大的努力啰。

</选择>

爱丽丝: 哇！不愧是老师！爱丽丝最喜欢这样的老师了！

旁白: （就在这时，正好响起了衣服清洗完毕的提示音）

爱丽丝: 啊，衣服好像洗好了！女仆喀秋莎……也变得非常干净！

爱丽丝: 那么老师，再次和见习女仆勇者爱丽丝一起去冒险吧！

老师: （到头来女仆勇者究竟……）

老师: （算了，是什么都无所谓吧……）

旁白: （之后和爱丽丝手牵手，看著街上的风景悠闲地回去了）
