白子——羁绊剧情 2

羁绊等级：3
场景地点：阿拜多斯高中．近郊、对策委员会．教室

标题: 一点点的距离

旁白: 阿拜多斯高中．近郊

旁白: （在阿拜多斯近郊等待白子）

老师: 白子差不多要来了才对……

白子: ……咦，老师？在这里做什么呢？

白子: 你听说我在这里慢跑，所以来拿能量饮料给我……？

白子: 唔，嗯……虽，虽然很感激，可是那个……

老师: 来，你的饮料。

白子: ……

老师: ……？

老师: ……白子？

白子: ……唔嗯。

白子: ……抱歉，那个……

白子: 现在，刚结束慢跑所以……虽，虽然，我并没有那么在意……！

白子: 抱，抱歉，老师……果然现在，还是先不用了。

白子: 学校见。

旁白: 对策委员会．教室

旁白: （白子带著比刚才舒畅的表情出现了）

白子: 嗨，老师。

白子: 刚刚的能量饮料？嗯，我就心怀感激地收下啰。

白子: ……嗯？

白子: 和刚才的态度不一样？这个，那是……

白子: 唔，嗯……

白子: 那是……

白子: 没，没什么。

老师: ……！？

旁白: （话说回来白子身上隐约散发著肥皂的香味）

旁白: （好像做错了什么，下次得道歉才行）
