真纪——羁绊剧情 3

羁绊等级：5
场景地点：千年学园．教室

标题: 天才与笨蛋只有一线之隔

旁白: 千年学园．教室

真纪: 所，所以说，这次考试不及格不是因为我没有念书……

真纪: 再说了根本是千年的考试太难了嘛～
真纪: 都是超过普通高中生水准的问题！

老师: 只要好好预习和复习，真纪也能解题唷。

真纪: 唔，像老师的碎碎念……
真纪: 不，确实是老师，理所当然的啊。

真纪: 但是不管怎么反复背诵课本，都无法理解问题本身嘛。

真纪: 尤其是国文！
真纪: 阅读文章推测登场人物的心境，这不是读心术的领域吗？

真纪: 嗯？明明能当骇客，为什么解不开这么简单的问题？

真纪: 你在说什么啊！骇客还比较简单哦！

真纪: 往水桶倒太多水的话内容物就会流出来。
真纪: 没有适合的钥匙时，请拥有钥匙的人开启。骇客的工作都是这种用常识就很好理解的行动！

真纪: 破解国文的问题比骇客简单多了？ 咦──，有那种事吗？
真纪: 唔──嗯……我看看……

真纪: 咦？哼哼，原来如此，这种表现方式很多的时候就表示登场角色很开心啊？
真纪: 这样啊，我懂了！

真纪: 老师，那这是什么意思……？

真纪: 谢谢，老师！
真纪: 只要依照老师教的方式做的话，感觉下次考试就没问题了！

真纪: 连这么困难的问题都能说明得那么容易理解，不愧是老师！

真纪: 什么？是因为我的理解得快？

真纪: 呵呵，被那样称赞有点让人害羞呢。

真纪: 虽然我的头脑不像贝里塔斯其他前辈那么聪明，但我也不想因为跟不上课程而造成其他成员的困扰。

真纪: 因为贝里塔斯是少数不会叫我问题儿童、认可我的才能，非常重要的地方。

真纪: 当然老师也是，对我来说也是一样特别的存在。
真纪: 所以我会更加更加……努力的。

真纪: 啊，啊哈哈！感，感觉说了令人难为情的话呢。
真纪: 最后那句话忘掉吧！

真纪: 好了。那么，为了记住老师帮我整理的内容，再重看一次笔记试著记住吧？

真纪: 「此笔记本是使用80g的白象画学纸作为内页，裁切为规格297mm×210mm的A型用纸尺寸，100枚印有流水号的内页……」

真纪: 嗯？我在念什么？
真纪: 笔记本最开始的地方写的文章呀？

真纪: 咦，这是不用记住的文章吗？
真纪: 因为老师说要背下所有笔记……

真纪: 等，等等！分不清到底是笨蛋还是天才，
真纪: 什么意思啊！老师！
