紫——羁绊剧情 3

羁绊等级：5

标题: 休息也很重要！

紫: 呵呵，您好，老师。

老师: 欢迎你来，紫。可以稍等我一下吗？我准备好就出去。

紫: 是！我会在这里等您！

紫: 那么就先失礼了。

紫: 哼哼～哼哼～♪

紫: 今天要～跟老师～一起～学什么呢～

紫: 呵呵，真的好期待……

紫: 嗯？这个声音是……

紫: 啊……

老师: 紫？怎么了吗？

紫: 老师……外面下雨了……

旁白: （之后暂时在办公室消磨时间，但雨却丝毫没有停下的迹象）

老师: 这下伤脑筋了。天气预报说今天会下一整天的雨。

紫: 看来今天最好不要外出比较好呢。

老师: 抱歉，我应该事先确认天气预报的。

紫: 别，别这么说。
紫: 小女子也同样没注意到。

紫: 今天……嗯。

紫: 我会乖乖坐在这里，在一旁看老师工作的样子！

老师: 啊哈哈……谢谢你这么说，不过……

紫: 不过……？

紫: 因为跟我闲聊的关系，好像浪费了我的时间……？
紫: 原来老师是这个意思。

紫: 哎呀。

紫: 听老师这么说，小女子反而有点受伤。

老师: 咦……？

紫: 一想到今天能来见老师，小女子的心里便感到十分雀跃。

紫: 就算不去哪里、不特别做什么……

紫: 光是离开宅邸，和老师待在一起……

紫: 对小女子而言，这些点点滴滴都是崭新的体验……

紫: 都是无可取代日子的延续。

紫: 就算今天不行还有明天。

紫: 如果明天有困难也还有后天。

紫: 小女子一直在思考明天要和老师聊什么，隔天老师会教我什么有趣的事物……

紫: 这一点一滴累积的期待……让每一天都成了小女子耀眼快乐的日子。

紫: 因此，如果老师觉得浪费了我的时间，或者我可能会感到难过……

紫: 那么您就误会了！

紫: 对小女子而言，和最喜欢的老师共度的当下才是最棒的宝物！

老师: 嗯，谢谢你这么说，紫。

紫: 哎呀，小女子只是把心里的想法说出来而已！

紫: 对这种理所当然的话道谢，我会很害羞的～

紫: 呵呵呵～♪

老师: 不过紫的真心，我确实感受到了哦。

紫: 那真是太好了……

紫: 太好了……

紫: ……真心……？

紫: 对小女子而言，和最喜欢的老师共度的当下才是最棒的宝物！

紫: …………

紫: ………………

紫: （咦……小小小女子……情不自禁就──！？）

紫: （顺势说出真心话了……！？）

老师: 为了满足紫的期待，我以后也会全力以赴的。

紫: 是，是……！

紫: ……老，老师您说的话！

紫: 小女子也确实收到了！

老师: 紫？

紫: 所以，这个话题就到此……到此结束……！

旁白: （之后不知为何，一段时间内都无法和紫对上眼神，
旁白: 就这么和紫一起在雨声中度过了悠闲的午后）
