美奈——羁绊剧情 4

羁绊等级：6
场景地点：山海经．梅花园

标题: 即使时间流逝

旁白: 山海经．梅花园

梅花园学生A: 哇啊～是美奈姐姐～！

梅花园学生B: 美奈姐姐！背我！

美奈: 呼……真拿你们没办法，要照顺序来哦。
美奈: 过的还好吗，小不点们。

梅花园学生A: 啊，美奈姐姐又说我们是小不点了。

梅花园学生B: 再说那种话就不跟你玩了哦？

美奈: 没有，应该是你们听错了吧！？
美奈: 姐姐我什么都没说哦！

美奈: 来！有礼物哦，礼物！
美奈: 每个人都有一份，要乖乖排队领哦。

老师: 原来美奈喜欢小朋友啊。

美奈: ……！？

美奈: 梅花园的小朋友们是……那个，对了。

美奈: 是山海经的未来啊！

梅花园学生A: 啊，瑠美姐姐也常这么说！

梅花园学生B: 瑠美姐姐常常会带很多水果和点心来……
梅花园学生B: 每次都会在煮饭的时候这么说！

美奈: 玄武商会是从什么时候开始用食物哄骗孩子的……！？

美奈: 居然用这种卑劣的手段……不能坐视不管！

老师: 只是单纯在疼爱小朋友们而已吧？

美奈: 老师也是站在玄武商会那边的吗！？
美奈: 明明都和我一起来梅花园了！？

老师: 我是站在学生们这边的……

美奈: 哼……好吧。

美奈: 乖孩子们，今天的礼物可是很酷的哦？
美奈: ……是新衣服跟鞋子！

梅花园学生A: 咦……这是不是很像玄龙门的衣服？

梅花园学生B: 这双鞋子，黑色的花朵装饰真大呢！

美奈: 呵，毕竟是玄龙门特别准备的东西啊。

美奈: 跟吃完就没了的那种礼物就是不一样对吧？

梅花园学生A: 唔嗯～不过我好像没有很喜欢。

梅花园学生B: 美奈姐姐，我想要可爱的洋装！

美奈: 你说什么！？

美奈: 大家，来这边集合一下。
美奈: 现在开始，姐姐要告诉你们一些非～常重要的话。

美奈: 首先，这套衣服是由玄龙门最顶级的裁缝师制作的──

美奈: 融入了山海经──玄龙门的传统、价值，以及精神……

美奈: 你们看这边。仔细看！就连细节都如此用心！

美奈: 鞋子也是一样！黑色是玄龙门的代表色。
美奈: 是毅然且公正，同时具备决断力的玄龙门才配得上的──

美奈: 这都是因为希望梅花园的所有孩子们可以好好长大，
美奈: 成为山海经优秀的一份子啊……

梅花园学生A: 美奈姐姐，说完再叫醒我～

梅花园学生B: 那个，黑玫瑰的花语好像是「怨恨」……
梅花园学生B: 美奈姐姐恨我们吗……？

美奈: 不，不是那样的～～～！

美奈: 腰……好痛。

老师: 跟孩子们玩得很开心呢。

美奈: 啊啊，是段很有意义的时光。

美奈: 像是从两边拉我的手臂，或是气势满满地跑来抱我……

美奈: 或是扯我的头发，在耳边大叫，因为会不听话地跑来跑去所以必须紧紧盯著……
美奈: 不过这样才是孩子啊。

老师: 有时候会觉得无力招架对吧……

美奈: 把这视为一种回馈的话，其实也不算什么。

美奈: 毕竟每个人都有孩童时期啊。

老师: ……

美奈: 怎，怎么了，老师。
美奈: 露出那种目瞪口呆的表情。

美奈: ……嗯？没想到我会说出这么有哲理的话？

美奈: 呵，希望老师记得这只是我稍微小试身手的程度而已。

美奈: ……每当看到孩子的时候，我都会这么想。

美奈: 那些孩子们长大后会变成什么样的学生呢。
美奈: 而那个时候……我是否成为了一个好的大人了呢。

美奈: 老师你……也对。
美奈: 成为大人之后，自然就能获得解答了吧。

<选择>
1. 老师: 那倒未必哦。

2. 老师: 并不是只要时间过去就能成为大人。
</选择>

美奈: 是这样吗？老师了解的事情真多呢。

美奈: 不，也不止现在是这样吧。

美奈: ……这就是，大人的从容。

老师: 要是看起来是这样就好了。

美奈: 听你这么说，好像事实并非如此呢。

老师: 嗯，就像是……为了不沉下去而拚死挣扎著的鸭子一样。

美奈: 那还真是希望能有天鹅一般的从容呢。

美奈: 但是，也没必要妄自菲薄不是吗？
美奈: ……不，这样啊。

美奈: 「每个人都有一颗赤子之心。无论经历多少时间，无论增长多少岁月──」

老师: 『不得不与自己和解的理由，是因为这是我们唯一能做的事』。

美奈: 「当潮湿的风开始吹起便为时已晚。只能接受大雨淋下。」

旁白: （就这样，和美奈快乐地聊天后回到了夏莱）
