羽留奈——羁绊剧情 1

羁绊等级：2
场景地点：格黑娜学园．第17学生餐厅

标题: 被禁止的研究

旁白: 格黑娜学园．第17学生餐厅

羽留奈: 哼哼哼。虽然现在这里是被封锁的餐厅，基本上禁止学生出入，

旁白: （喀嚓）

羽留奈: 水电都正常供应。

羽留奈: 也就是说，这里是个不会被任何人妨碍，非常适合研究美食的地方呢！

老师: 我为什么会被叫来这里？

羽留奈: 并不是，要你做什么困难的事哦。

羽留奈: 关于为什么把老师叫来这里，是因为……要是被风纪委员会发现了，总得需要一名大人来负责吧？

老师: 太过分了……

羽留奈: 哼哼。人生就是这样，好，那么，赶快开始吧。

羽留奈: 今天美食研究的主题是，红酒炖鸡！

<选择>
1. 老师: 红酒炖鸡的话也就是……

羽留奈: 是。就和你知道的一样，所谓的红酒炖鸡……

2. 老师: 那是什么？

羽留奈: 所谓的红酒炖鸡……

</选择>

羽留奈: 是种将鸡肉与各种蔬菜放入锅里一起煮的炖菜料理。做法也不困难，只要将材料放入锅子里煮就完成了。

羽留奈: 不过……如果这道料理真的那么简单的话，我也不会把它当作我的研究主题了。

羽留奈: 说穿了红酒炖鸡最大的特征就是，以红酒代替白开水炖煮鸡肉。

老师: 红酒的话也就是……

羽留奈: 是，葡萄酒。也就是酒。

羽留奈: 奇普托斯的学生基本上绝对无法取得的，违禁物品。

羽留奈: 有提供酒类的高级餐厅，一般学生也都是禁止进入……就算想入手也没办法，禁断的材料。

羽留奈: 所以我拟定的策略是……

羽留奈: 乙醇和葡萄汁。

老师: 什么！？

羽留奈: 唔哼哼，我思考了有什么东西重现葡萄酒的味道。

羽留奈: 葡萄和酒精，理论上没有问题。只有用这些东西应该就能制作红酒炖鸡了。

羽留奈: 请仔细看好了，老师。

羽留奈: 好，先用平底锅煎培根……

旁白: （滋──）

羽留奈: ……将裹上面粉的鸡肉用培根油炒过。

旁白: （滋──）

羽留奈: 接下来在备好的锅子里……放入煮熟的鸡肉与蘑菇、萝卜、洋葱……

旁白: （咕噜咕噜）

羽留奈: 接下来将葡萄汁……

旁白: （咕噜咕噜咕噜）

老师: 不安……

羽留奈: 哼哼。请不用担心，理论上完全没有任何问题哦。

羽留奈: 接著把令人期待的酒精……

羽留奈: ……

羽留奈: 唔──嗯……该加多少才好呢……

羽留奈: 应该要考虑一下比例的……

羽留奈: 嘛，应该没问题吧。反正书里说，酒精会在沸腾的过程中蒸发几乎不会留下……

羽留奈: 总之先加进去吧！

旁白: （咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜……）

羽留奈: 哼哼哼。身为追寻美食之道的人，对于食材的使用太过吝啬可说是大忌。多倒一些……

旁白: （咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜咕噜……）

羽留奈: ……呼。虽然感觉好像加得有点太多了……应该没关系吧。

羽留奈: 那么再把火调大一点……

羽留奈: ……？

旁白: （咚哐──！）

旁白: （锅子爆炸了）

羽留奈: ………！？

老师: 羽留奈，没事吧！？

羽留奈: 呃，是。我没事，但是红酒炖鸡……料理……

旁白: （嗡──！嗡──！）

羽留奈: 火灾警报器……！？

格黑娜学生的声音１: 封锁的餐厅发生了爆炸！

格黑娜学生的声音２: 是袭击！！快点通知风纪委员会！！叫大家到餐厅集合！！

羽留奈: 哎，哎呀……被发现了吗……

老师: 快逃吧！

羽留奈: 可，可是……料理……

旁白: （抓著羽留奈的手离开了餐厅）

羽留奈: 啊啊……这样一来……

羽留奈: 所幸爆炸规模没有很大……但我好不容易找到的秘密研究室……

羽留奈: 哈啊……

羽留奈: ……没关系。场地再找就有了呀。

羽留奈: 不过……看来应该是搞错酒精的比例了呢，下次做好更万全的准备吧。

旁白: （虽然应该不是那个问题，但面对眼神闪闪发光的羽留奈，我说不出吐槽的话……）

旁白: （之后再去格黑娜道歉吧）
