都子——羁绊剧情 3

羁绊等级：5
场景地点：兔宝宝公园

标题: SRT，保护！

旁白: 兔宝宝公园

都子: 虽然大家都说兔子喜欢红萝卜，不过给年纪还小的兔子吃红萝卜好像不太好。

都子: 因为蹦蹦出生还不到6个月，所以就先收集了这附近的苜蓿代替红萝卜给牠吃了。

都子: ……？啊，是的。已经决定叫牠「蹦蹦」了。

都子: 我认为这是个很适合、很棒的名字。

都子: 蹦蹦，蹦蹦……真是个好名字。

都子: 蹦蹦真的是个很聪明的孩子，
都子: 当我们结束作战回来时，牠马上就会注意到并出来迎接我们。

都子: 不过最近因为作战的关系，蹦蹦常常自己孤零零的，让我有点担心。

老师: 是不是再多养一只比较好？

都子: 不。虽然有兔子会因为寂寞而衰弱的传闻，
都子: 不过兔子其实是种很怕生的动物，要和其他的兔子们好好相处似乎不太容易。

都子: 如果再多养一只兔子的话，肯定会产生更多困扰的吧。

都子: 就像遇见老师前的RABBIT小队一样……

都子: ……不，没什么。

都子: 其实最大的问题是，最近RABBIT小队的队员们盯上了蹦蹦。

都子: 是因为最近RABBIT小队的粮食没什么余裕吗……
都子: 队员们看著蹦蹦的视线有时有点奇怪……

都子: 老师，我不在的时候可以请老师帮我照顾这个孩子吗？

旁白: （之后，和都子一起照顾完兔子后，回到了夏莱）
