风华——羁绊剧情 5

羁绊等级：8

标题: 供给部的部长想努力！

旁白: （今天风华会在格黑娜学生餐厅帮忙）

旁白: （因此当我到了学生餐厅的时候……）

风华: 今天也收到了学生们的投诉！

老师: 风，风华？

旁白: （这是…味醂？）

老师: 风华，难道你有喝这个？

风华: 是的！我试了一下味道。没办法嘛！我这是为了做料理……！

老师: 我记得味醂里面加了酒……

风华: 现在那不是重点！老师！

风华: 为了让大家都能吃到美味的餐点，我明明一直这么努力……！

老师: 唔，嗯。我也很清楚风华很努力。

风华: 当然，因为供餐是大量料理，我也知道难免会降低料理的品质，引起不满。

风华: 我也知道大家看不到我努力的地方……

风华: 虽然觉得很心痛，但我也知道这是没办法的事情，所以我也不是不能够理解。

风华: 即！便！如！此！

风华: 也不能看到黄色酱料就自以为是黄芥末，结果擅自搞错加成辣芥末酱，

风华: 然后才跟我抗议餐点太辣，啊这是要我怎样！？

风华: 有那么多意见不会自己来做啊！？

风华: 难不成供给部部长的辛苦就不算辛苦吗！？？呐！？

老师: 辛，辛苦你了。

风华: 嗯？等一下！

风华: ……我干脆先把加进料理的黄芥末全部换成辣芥末酱，这样不就不会再被投诉了吗？

风华: 稍微转换一下想法，说不定就能改变格黑娜学生餐厅的风气了……？

老师: 不，不要放弃啊！

风华: 开玩笑啦，我怎么可能那么做。身为供给部，对食物怠慢可是罪过。

老师: 不愧是风华！总是真诚的面对料理！

风华: 啊，不过供给部的工作也不全然只有苦差事。

风华: 听到有人说我做的料理好吃，我也会觉得很开心，很有成就感，更重要的是……

风华: 光是老师能跑来帮忙，我心里就觉得暖暖的。

风华: 欸嘿，欸嘿嘿……

老师: 风华？

风华: ……

老师: 风，风华炭……？

风华: 呼……

旁白: （那时，我突然看到味醂瓶身上的标签）

旁白: （酒精含量0.00003%）

旁白: （之后我下定决心，以后绝不能让风华靠近酒精）
