GroupId: 41140

标题: 第14话以物易物

都子: 萌，你有什么好方法吗？

美优: 但，但是现在的我们，钱和帐户都……

咲希: ……话说最一开始，疯狂浪费弹药的就是你啊。

萌: 不不不，我有说过那是必要的时机啊！

萌: 总之，又不是没有钱就没办法补充。

老师: 该不会要抢银行……

咲希: 哈啊？你在说什么？

都子: 必须守护市民安全的SRT，怎么可能去当银行强盗。

萌: 才不是那种头脑坏掉的想法呢，

萌: 我想说的是……

萌: 以物易物！

萌: 嘛，也算是某种回归原点的古典交易方法。

萌: 交出我们持有的贵重物品，收下等价的武器和弹药。

都子: 说到「我们持有的贵重物品」……

美优: ……烧肉便当？赏味期限到了耶……

萌: 那种东西谁也不会买吧。真要说的话只有那个「所确幸」。

萌: 不是那些，而是大量的导弹和炸弹啦。

萌: 虽然浸水报废了，不过也不代表没有价值。

萌: 虽然是断肠之痛，但它们能找到更好的主人也比较好吧。

老师: 原来如此……？

都子: 不过会有人买吗？虽然原本是高价品，但现在几乎都故障或生锈了……

萌: 嘛，那方面就交给我吧。我有人脉。

萌: 例如，我想想……

萌: 在黑市经手武器的「凯萨工业」。
萌: 那边的佣兵们对二手武器的需求是源源不绝。

萌: 那里的话就算是这种生锈导弹，也会有人能找出什么用途吧。

萌: 作为交换，我们可以收下凯萨集团品质还不错的武器！

咲希: 嘿～以萌来说算是很正常的想法了嘛。

咲希: 身体没事吗？难道昨天的拿波里便当吃坏肚子了？

萌: 吵死啦！？

萌: 总之，拨电话给营业所看看吧。

凯萨销售员（通信）: 您好，这里是提供最高品质武器的「凯萨工业」。请问有什么事呢？

萌: 嗨嗨，好久不见！

萌: 是我啦，是我。之前也买了很多东西的，SRT特殊学园补给担当。

凯萨销售员（通信）: 那，那个时候的VVIP……！？

凯萨销售员（通信）: 久疏问候了！

凯萨销售员（通信）: 请问这次也需要新的导弹吗？

凯萨销售员（通信）: 还是说以前购买的集束炸弹有什么问题吗……？

都子: ……萌，你什么时候买了那种东西？

萌: 呀，那个，反正不是学园的钱？

萌: 只是私人用的炸弹！是自费的所以没问题！

老师: 『私人用的炸弹』是什么……？

萌: 总，总之……

萌: 今天不是要买，而是要卖才联络的。

凯萨销售员（通信）: 要卖吗……？本店基本上对于买进业务……

凯萨销售员（通信）: 不过也不能什么都不听就拒绝呢。可以先请教原因吗？

萌: 这个嘛……其实我手上有一些在便利商店买不到的高级装备。

萌: 像是诱导式对空导弹、可以调节威力的集束手榴弹、可以远端操作的反战车火箭……

凯萨销售员（通信）: 什，什么……您愿意把那些卖给我们吗？

萌: 嗯，虽然有点生锈了……不过应该没问题吧。

老师: ……有点？

萌: （老师，Shut up！！）

凯萨销售员（通信）: 如果是那种特殊的东西，我想需求应该要多少有多少……

凯萨销售员（通信）: 好的，我们很乐意接受。

凯萨销售员（通信）: 顺带一提款项部分，和以前一样汇入同一个帐户就可以了吗？

萌: 啊……其实那个帐户出了点问题，现在没办法使用……

萌: 不收现金，用实物如何？

凯萨销售员（通信）: 实物是指……？

萌: 稍微便宜点的东西就可以了，我想要高火力的武器。

萌: 空爆燃烧弹、白磷弹之类的……哈啊，哈啊……！

凯萨销售员（通信）: 其，其实，非常抱歉……目前武器的库存都卖光了……

萌: ……咦，平常明明有那么多？全没了？

凯萨销售员（通信）: 是的……其实前几天，被匿名的客人全部买下了。

萌: 什……是打算在奇普托斯展开战争吗？

萌: 是谁买那么大量的……

凯萨销售员（通信）: 这部分我实在没办法回答……

凯萨销售员（通信）: 不好意思，这是对顾客们的保密政策……

萌: 这，这倒也是……

凯萨销售员（通信）: 那么虽然很遗憾，这次的交易就当作没发生过……

凯萨销售员（通信）: 如果还有其他事情的话，随时欢迎联络！

萌: 这，这什么莫名其妙的状况……害人期待落空了……

咲希: 话说萌，你什么时候变成凯萨工业的VVIP了啊。

都子: 这样想起来，以前有很多细项计算对不上，该不会……

美优: 萌酱……会因为贪污罪被逮捕……？

萌: 那，那不是现在该说的事吧！？

萌: 总之现在补给的事比较重要……！

萌: 反，反正也不是只有「凯萨工业」这条人脉！还有中古拍卖之类的，买家要多少都有！

咲希: 这种东西会有人特地在拍卖会买吗？

萌: 别小看拍卖会！最近的拍卖会除了武器和弹药，从骇客机器到蔬菜什么都能入手！

萌: 肯定现在也有，请让我买炸弹的讯息──

萌: ……呜哇，还真的有。

旁白: 未完待续
下一话: 下一话小而确实的败北
